county,wy_type,mean_cuttings,max_cuttings,sd
San Joaquin,Critical,6.882666666666666,11.0,1.3892946922370533
Stanislaus,Critical,7.564432989690721,11.0,1.323011574397203
Merced,Critical,7.916107382550336,11.0,1.1989089941730133
Madera,Critical,7.086206896551724,9.0,0.9418995878732583
Fresno,Critical,7.4541984732824424,9.0,1.0448750712312065
Tulare,Critical,7.863247863247863,12.0,1.577230597883834
Kings,Critical,7.776923076923077,10.0,1.0802338579379092
Kern,Critical,7.2542857142857144,10.0,0.9026680786722097
Riverside,Critical,7.453846153846154,10.0,0.9073501471444513
Imperial,Critical,7.452095808383233,12.0,1.710885071104698
San Joaquin,Dry,6.949333333333334,10.0,1.1516523044317803
Stanislaus,Dry,7.623711340206185,10.0,1.0218618784489486
Merced,Dry,8.134228187919463,11.0,1.1189867407421912
Madera,Dry,7.310344827586207,9.0,0.8495144947835152
Fresno,Dry,7.290076335877862,9.0,0.854747372649419
Tulare,Dry,7.05982905982906,9.0,1.0363280525955674
Kings,Dry,7.1692307692307695,9.0,0.8209984540414564
Kern,Dry,7.577142857142857,10.0,1.0414086708417754
Riverside,Dry,7.97948717948718,10.0,0.9401579168286417
Imperial,Dry,7.874251497005988,11.0,1.1982901509091262
San Joaquin,Above Normal,4.557640750670242,8.0,1.5623344848770375
Stanislaus,Above Normal,5.788659793814433,9.0,1.6978118370182034
Merced,Above Normal,5.9375,11.0,2.432928966625075
Madera,Above Normal,5.172413793103448,6.0,0.804849831478846
Fresno,Above Normal,6.875968992248062,10.0,1.2119699352834667
Tulare,Above Normal,6.957264957264957,11.0,1.9625509542832187
Kings,Above Normal,6.7384615384615385,9.0,1.1494145667050883
Kern,Above Normal,6.937142857142857,9.0,1.3694293035442113
Riverside,Above Normal,7.361878453038674,10.0,1.1997159435867375
Imperial,Above Normal,6.69811320754717,11.0,2.0181289648455336
San Joaquin,Wet,6.493333333333333,10.0,1.4992061391346634
Stanislaus,Wet,6.610824742268041,11.0,1.5719065729600226
Merced,Wet,7.043624161073826,11.0,1.8913527180461966
Madera,Wet,6.931034482758621,9.0,1.4492837791386095
Fresno,Wet,6.687022900763359,10.0,1.1486054810933488
Tulare,Wet,6.965811965811966,11.0,1.601670929706382
Kings,Wet,7.1,9.0,1.180264061900537
Kern,Wet,7.208571428571428,10.0,1.1700345128922416
Riverside,Wet,7.519230769230769,10.0,0.9737976282959835
Imperial,Wet,7.937125748502994,12.0,1.5973698734696233
