county,parcel_years,unique_parcels,ET_open_total_mm,ET_corr_total_mm,delta_total_mm,annual_pct_reduction_mean,annual_pct_reduction_median,annual_ci_rel_width_pct_median,pct_reduction_total
Fresno,784,131,868898.586,854558.2483807995,14340.337619200433,1.634744687924771,0.698477863753382,2.2072799002888353,1.6504040690429242
Imperial,994,167,1250597.761,1247460.5057986355,3137.2552013645836,0.23502998987911008,0.0,0.0,0.2508604524332411
Kern,1050,175,1110250.252,1094771.8922656006,15478.359734399395,1.4324542602090795,0.01597353228265,0.19533011820731816,1.3941325126039597
Kings,390,65,431321.39,426062.7348589874,5258.655141012587,1.2244804876199888,0.36936517213527187,1.7995014112366245,1.2191964653115364
Madera,174,29,198670.781,197272.52303300993,1398.2579669900604,0.7030024424698165,0.13158552117605668,0.2209340844471162,0.7038065486791741
Merced,889,149,950274.627,947351.2487276468,2923.3782723532104,0.2932021094118698,0.0,0.0,0.3076350971910366
Riverside,2312,390,3016990.32,2959956.593305774,57033.72669422603,1.890797760992981,1.195059942373971,3.0036510986750824,1.8904179544807436
San Joaquin,2248,375,2334879.84,2284673.6187756355,50206.22122436431,2.1061563696430152,0.33085475960318134,0.8742339707255107,2.150270020934538
Stanislaus,1164,194,1214709.516,1205455.0196321479,9254.496367852174,0.7352129327425975,0.0,0.009789398437348306,0.7618690926475111
Tulare,702,117,734291.707,728251.8406036447,6039.8663963553145,0.8000235083794763,0.0,0.0,0.8225431853277506
