metric,mean,median,p10,p25,p75,p90,n
n_cuttings,3.878962818003914,4.0,2.0,3.0,5.0,6.0,10220
n_cp_season,7.947847358121331,8.0,6.0,7.0,9.0,10.0,10220
n_late_cuts,2.0406066536203524,2.0,1.0,2.0,2.0,3.0,10220
late_et_mm,23.56301692759296,12.626,0.0,0.0,36.497749999999996,64.76580000000001,10220
saved_mm_cap0,23.56301692759296,12.626,0.0,0.0,36.497749999999996,64.76580000000001,10220
saved_mm_cap1,11.129663405088063,2.9575,0.0,0.0,14.9215,35.664000000000016,10220
saved_mm_cap2,2.0661195694716246,0.0,0.0,0.0,0.0,3.49,10220
saved_mm_cap3,0.00411252446183953,0.0,0.0,0.0,0.0,0.0,10220
saved_mm_cap4,0.0,0.0,0.0,0.0,0.0,0.0,10220
area_acres,38.13803130642389,32.05690299901029,6.9235929372381095,16.78381979242393,54.01929832327004,76.4662314422748,10220
late_et_acft,2.98101722196013,0.735905797192506,0.0,0.0,3.4758551473817674,8.679982305266794,10220
