level,x,y,n,slope,intercept,r,r2
parcel_year,tmax_mean,n_cp_season,10220,0.010218226951048735,7.6698539558723375,0.026995987694566508,0.0007287833516051863
parcel_year,et_cum_minET_to_last_cut_mm,n_cp_season,10220,0.0056797650259046715,7.516465000155102,0.2305361588168445,0.05314692052202535
parcel_year,late_et_mm,n_cp_season,10220,0.006506914978044367,7.794524810347264,0.1292306697193353,0.016700565996107926
parcel_year,late_et_acft,n_cp_season,10220,0.023302255251548925,7.878382933905953,0.08696129905059435,0.007562267532566902
parcel_year,tmax_mean,n_cuttings,10220,0.016788084104912993,3.422232248216752,0.04083818246993042,0.0016677571474473323
parcel_year,et_cum_minET_to_last_cut_mm,n_cuttings,10220,0.00388314646942273,3.584034969286968,0.14512226481506238,0.021060471745053093
parcel_year,late_et_mm,n_cuttings,10220,0.004014203851595786,3.7843760646979536,0.07340598624790971,0.00538843881702831
parcel_year,late_et_acft,n_cuttings,10220,0.014233095341259949,3.8365337156698174,0.04890677367848142,0.002391872511638203
county_year_means,tmax_mean_mean_by_county_year,n_cp_season_mean_by_county_year,60,0.037081441471203354,6.956321695898864,0.31285348636393306,0.09787730393006765
county_year_means,et_cum_minET_to_last_cut_mm_mean_by_county_year,n_cp_season_mean_by_county_year,60,0.00212951824911496,7.78880724075776,0.22902608707537941,0.052452948561059275
county_year_means,late_et_mm_mean_by_county_year,n_cp_season_mean_by_county_year,60,0.004721026091008458,7.8357179837302695,0.20860155187308252,0.043514607443858336
county_year_means,late_et_acft_mean_by_county_year,n_cp_season_mean_by_county_year,60,0.02222163675172797,7.873664997356112,0.16616712614347962,0.027611513810783066
county_year_means,tmax_mean_mean_by_county_year,n_cuttings_mean_by_county_year,60,0.025195025697257404,3.189838635630709,0.15061137100233293,0.022683785075202374
county_year_means,et_cum_minET_to_last_cut_mm_mean_by_county_year,n_cuttings_mean_by_county_year,60,0.0051619202276842625,3.4833274203649167,0.3933448253051824,0.15472015159436445
county_year_means,late_et_mm_mean_by_county_year,n_cuttings_mean_by_county_year,60,0.009960008093752403,3.6313215829595604,0.3118167144520438,0.09722966341166742
county_year_means,late_et_acft_mean_by_county_year,n_cuttings_mean_by_county_year,60,0.056183453631354,3.681598745871882,0.297670681794594,0.08860783480005843
