county,n_parcels,n_years,late_cuts_removed,cut_cap_k,area_acres,area_acres_unique,baseline_late_et_total_acft,water_saved_total_acft,scenario_late_et_total_acft,baseline_late_et_total_mm_area_weighted,water_saved_total_mm_area_weighted,scenario_late_et_total_mm_area_weighted,mean_saved_mm_per_cut,mean_saved_acft_per_acre_per_cut,water_saved_acft_per_acre,water_saved_mm_per_acre,water_saved_acft_per_parcel,water_saved_acft_per_cut_removed,water_saved_acft_per_acre_per_cut_removed,water_saved_pct_of_baseline_late_et,water_saved
Fresno,131.0,6.0,2072.0,0,35806.160688653865,5977.547201327037,50174.40754103413,50174.40754103413,0.0,427.1097242590784,427.1097242590784,0.0,161.17475132100395,0.5287885542027688,1.4012786228972387,427.10972425907835,383.0107445880468,24.215447654939254,0.5287885542027688,1.0,1.4012786228972387
Imperial,167.0,6.0,2380.0,0,51439.554912381354,8626.940327464219,64838.415035959595,64838.415035959595,0.0,384.1936217493135,384.1936217493135,0.0,164.03399204702626,0.5381692652461493,1.2604777616447294,384.19362174931354,388.2539822512551,27.243031527714116,0.5381692652461493,1.0,1.2604777616447294
Kern,175.0,6.0,2730.0,0,56597.72886847275,9432.954811412124,74234.8761396068,74234.8761396068,0.0,399.78265382228443,399.78265382228443,0.0,152.77278642763588,0.5012230525841073,1.3116228799943714,399.78265382228443,424.1992922263246,27.192262322200293,0.5012230525841073,1.0,1.3116228799943714
Kings,65.0,6.0,1038.0,0,15681.608925651028,2613.6014876085046,21766.422707259226,21766.42270725923,-3.637978807091713e-12,423.0691935137124,423.0691935137124,0.0,161.4009668831169,0.5295307312438218,1.3880222884308147,423.0691935137123,334.868041650142,20.969578716049355,0.5295307312438218,1.0000000000000002,1.3880222884308147
Madera,29.0,6.0,442.0,0,10069.726478688171,1678.2877464480287,13973.881386492307,13973.881386492307,0.0,422.97465135892395,422.97465135892395,0.0,169.53842652859962,0.556228433492781,1.3877121107576247,422.974651358924,481.8579788445623,31.61511625903237,0.556228433492781,1.0,1.3877121107576247
Merced,149.0,6.0,2328.0,0,33868.76247407939,5678.434028895005,44337.03989534011,44337.0398953401,7.275957614183426e-12,399.00866677494383,399.00866677494383,0.0,156.99724074074075,0.5150828108292019,1.3090835524112328,399.0086667749438,297.5640261432222,19.04512022995709,0.5150828108292019,0.9999999999999999,1.3090835524112328
Riverside,390.0,6.0,6255.0,0,79463.36157655518,13377.404351573776,113347.4220500733,113347.4220500733,0.0,434.7701073227117,434.7701073227117,0.0,159.77273841882214,0.5241887743399677,1.42641111326349,434.7701073227118,290.6344155130085,18.12109065548734,0.5241887743399677,1.0,1.42641111326349
San Joaquin,375.0,6.0,5128.0,0,72045.91116343098,12017.140958381071,91638.69781918169,91638.69781918169,0.0,387.6899416529834,387.6899416529834,0.0,172.93880894502698,0.5673845437828969,1.2719486274704177,387.68994165298335,244.36986085115117,17.870260885175835,0.5673845437828969,1.0,1.2719486274704177
Stanislaus,194.0,6.0,3022.0,0,23646.707687030423,3941.117947838404,30827.525148091285,30827.525148091285,0.0,397.35889619390025,397.35889619390025,0.0,158.61942508944546,0.5204049379574982,1.303670919271326,397.3588961939002,158.90476880459426,10.20103413239288,0.5204049379574982,1.0,1.303670919271326
Tulare,117.0,6.0,1784.0,0,28393.377591948592,4732.229598658098,38246.31803994141,38246.31803994141,0.0,410.5703064322934,410.5703064322934,0.0,162.0358187654321,0.5316135786267457,1.3470154410508308,410.57030643229325,326.8916071789864,21.43851908068465,0.5316135786267457,1.0,1.3470154410508308
Fresno,131.0,6.0,1315.0,1,35806.160688653865,5977.547201327037,50174.40754103413,28851.62492518315,21322.78261585098,427.1097242590784,245.59950321572538,181.51022104335303,146.60931524725274,0.4810016904437427,0.8057726483455557,245.5995032157254,220.24141164261948,21.940399182648783,0.4810016904437427,0.5750267185833221,0.8057726483455557
Imperial,167.0,6.0,1416.0,1,51439.554912381354,8626.940327464219,64838.415035959595,31358.37553227068,33480.03950368892,384.1936217493135,185.81095576189583,198.38266598741765,133.5671672348485,0.4382124909279806,0.6096159965941464,185.81095576189585,187.77470378605196,22.14574543239455,0.4382124909279806,0.48363883532438634,0.6096159965941464
Kern,175.0,6.0,1712.0,1,56597.72886847275,9432.954811412124,74234.8761396068,41416.61678595103,32818.25935365577,399.78265382228443,223.04401693739766,176.73863688488677,133.63143027210884,0.43842332766439907,0.731771709112197,223.04401693739766,236.6663816340059,24.191949057214387,0.43842332766439907,0.557913193093534,0.731771709112197
Kings,65.0,6.0,653.0,1,15681.608925651028,2613.6014876085046,21766.422707259226,12539.339658445613,9227.083048813613,423.0691935137124,243.72440009280183,179.34479342091055,144.6225801971326,0.47448353083048755,0.7996207352126043,243.7244000928018,192.9129178222402,19.202664101754383,0.47448353083048755,0.5760863797919201,0.7996207352126043
Madera,29.0,6.0,273.0,1,10069.726478688171,1678.2877464480287,13973.881386492307,7753.5119269430215,6220.369459549285,422.97465135892395,234.6906284231175,188.28402293580646,153.3965359477124,0.5032694748940696,0.7699823767162647,234.6906284231175,267.36248023941454,28.401142589534878,0.5032694748940696,0.5548574309810491,0.7699823767162647
Merced,149.0,6.0,1482.0,1,33868.76247407939,5678.434028895005,44337.03989534011,25749.828238105096,18587.211657235013,399.00866677494383,231.73411349118894,167.2745532837549,143.82354556803995,0.47186202614186334,0.7602825245773914,231.7341134911889,172.8176391819134,17.375052792243654,0.47186202614186334,0.5807746367120787,0.7602825245773914
Riverside,390.0,6.0,3974.0,1,79463.36157655518,13377.404351573776,113347.4220500733,62799.47307423547,50547.94897583783,434.7701073227117,240.8818229340351,193.88828438867657,140.58766412556056,0.4612456172098442,0.7902946946654694,240.88182293403509,161.0242899339371,15.802585071523772,0.4612456172098442,0.5540441232663647,0.7902946946654694
San Joaquin,375.0,6.0,3030.0,1,72045.91116343098,12017.140958381071,91638.69781918169,48529.402641788576,43109.29517739311,387.6899416529834,205.3102207516414,182.379720901342,153.7707740244112,0.504497290106336,0.6735899630959362,205.31022075164137,129.41174037810288,16.016304502240455,0.504497290106336,0.5295732457650709,0.6735899630959362
Stanislaus,194.0,6.0,1904.0,1,23646.707687030423,3941.117947838404,30827.525148091285,17589.5548851427,13237.970262948584,397.35889619390025,226.72485319941688,170.63404299448337,143.94790698772428,0.4722700360489641,0.7438479435676407,226.7248531994169,90.66780868630258,9.238211599339653,0.4722700360489641,0.5705795324355376,0.7438479435676407
Tulare,117.0,6.0,1109.0,1,28393.377591948592,4732.229598658098,38246.31803994141,21516.476388401563,16729.84165153985,410.5703064322934,230.97717000898433,179.5931364233091,145.0661168224299,0.4759387034856625,0.7577991142027045,230.97717000898436,183.90150759317575,19.401691964293565,0.4759387034856625,0.5625764123472348,0.7577991142027045
